scope,arm,comparison,left,right,n_queries_paired,judge_average_n,judge_average_left_mean,judge_average_right_mean,judge_average_median_diff,judge_average_underpowered,judge_average_p,judge_average_cliffs_delta,rouge_l_n,rouge_l_left_mean,rouge_l_right_mean,rouge_l_median_diff,rouge_l_underpowered,rouge_l_p,rouge_l_cliffs_delta,elapsed_s_n,elapsed_s_left_mean,elapsed_s_right_mean,elapsed_s_median_diff,elapsed_s_underpowered,elapsed_s_p,elapsed_s_cliffs_delta,cost_n,cost_left_mean,cost_right_mean,cost_median_diff,cost_underpowered,cost_p,cost_cliffs_delta,abstained_flag_n,abstained_flag_left_mean,abstained_flag_right_mean,abstained_flag_median_diff,abstained_flag_underpowered,abstained_flag_p,abstained_flag_cliffs_delta,judge_per_1k_tokens_n,judge_per_1k_tokens_left_mean,judge_per_1k_tokens_right_mean,judge_per_1k_tokens_median_diff,judge_per_1k_tokens_underpowered,judge_per_1k_tokens_p,judge_per_1k_tokens_cliffs_delta,judge_average_p_holm,rouge_l_p_holm,elapsed_s_p_holm,cost_p_holm,abstained_flag_p_holm,judge_per_1k_tokens_p_holm,mode
query_type=simple,base,all_vs_parallel,all,parallel,10,10,1.6555555555555557,1.8,0.0,False,0.203125,-0.21,10,0.17615396374750428,0.17017243018581021,0.0076984016173913955,False,0.064453125,0.26,10,98.73483333333333,102.75973333333334,-4.712833333333336,False,0.10546875,-0.34,10,0.00192302,0.0018946850000000001,1.9125000000000045e-05,False,0.431640625,0.08,10,0.0,0.0,0.0,False,,0.0,10,0.18020784177072977,0.19677679950603116,-0.003484712350479334,False,0.275390625,-0.28,0.40625,0.12890625,0.2109375,0.46484375,,0.55078125,
query_type=simple,base,dag_vs_parallel,dag,parallel,10,10,1.8555555555555556,1.8,0.1666666666666664,False,0.5390625,0.14,10,0.18218397791765675,0.17017243018581021,0.008877124480485776,False,0.02734375,0.36,10,107.43003333333334,102.75973333333334,5.926499999999997,False,0.322265625,0.18,10,0.001965765,0.0018946850000000001,8.00499999999998e-05,False,0.037109375,0.38,10,0.0,0.0,0.0,False,,0.0,10,0.1997390880741548,0.19677679950603116,0.009448618654616853,False,0.921875,0.06,0.5390625,0.08203125,0.322265625,0.111328125,,0.921875,
overall,peft,all_vs_dag,all,dag,30,30,1.8037037037037036,1.7703703703703708,0.11111111111111083,False,0.6470090968448117,0.023333333333333334,30,0.16883738520883107,0.17039046841021874,0.002194757344714221,False,0.9838335812091827,-0.057777777777777775,30,249.07708888888882,246.76593333333332,-5.43516666666666,False,0.7765688337385654,-0.008888888888888889,30,0.0022582933333333334,0.002233953333333333,3.2825e-05,False,0.4771064817905426,0.02,30,0.0,0.0,0.0,False,,0.0,30,0.17965715112192143,0.1772450018982164,0.005746519060755115,False,0.6701805889606476,-0.024444444444444446,0.9171059278560719,1.0,1.0,0.4771064817905426,,0.6701805889606476,
overall,peft,all_vs_parallel,all,parallel,30,30,1.8037037037037036,1.7333333333333332,0.11111111111111116,False,0.305701975952024,0.07,30,0.16883738520883107,0.1682510518472263,0.00023553303533976888,False,0.8393927440047264,0.02,30,249.07708888888882,244.15865555555555,-2.546166666666693,False,0.8871948085725307,0.0044444444444444444,30,0.0022582933333333334,0.0023059583333333326,-7.179999999999969e-05,False,0.13473508320748806,-0.08,30,0.0,0.0,0.0,False,,0.0,30,0.17965715112192143,0.17022576524049846,0.012016322377725326,False,0.19807579927146435,0.04666666666666667,0.9171059278560719,1.0,1.0,0.2694701664149761,,0.5727885626256466,
overall,peft,dag_vs_parallel,dag,parallel,30,30,1.7703703703703708,1.7333333333333332,0.0,False,0.385981382550729,-0.0033333333333333335,30,0.17039046841021874,0.1682510518472263,0.0008035931207601016,False,0.5291051845997572,0.051111111111111114,30,246.76593333333332,244.15865555555555,5.005166666666696,False,0.8393927440047264,0.03111111111111111,30,0.002233953333333333,0.0023059583333333326,-4.7674999999999844e-05,False,0.044907208532094955,-0.10666666666666667,30,0.0,0.0,0.0,False,,0.0,30,0.1772450018982164,0.17022576524049846,0.0040327512832202955,False,0.19092952087521553,0.07777777777777778,0.9171059278560719,1.0,1.0,0.13472162559628487,,0.5727885626256466,
query_type=decomposable,peft,all_vs_dag,all,dag,10,10,1.777777777777778,1.6555555555555557,0.11111111111111105,False,0.0859375,0.23,10,0.16655198214409903,0.16499737934004083,0.0027390329661259177,False,0.556640625,0.04,10,262.0458,253.58026666666666,7.995500000000007,False,0.6953125,0.1,10,0.0024063949999999995,0.0023623749999999995,5.127499999999993e-05,False,0.4921875,0.16,10,0.0,0.0,0.0,False,,0.0,10,0.1704647030958803,0.1609911365744359,0.012690544669586065,False,0.130859375,0.14,0.234375,0.966796875,1.0,0.697265625,,0.193359375,
query_type=decomposable,peft,all_vs_parallel,all,parallel,10,10,1.777777777777778,1.6333333333333333,0.2222222222222222,False,0.078125,0.19,10,0.16655198214409903,0.1620246648056181,0.004938035017653816,False,0.322265625,0.08,10,262.0458,259.0742,10.369833333333318,False,0.4921875,0.16,10,0.0024063949999999995,0.0024724249999999994,-5.854999999999988e-05,False,0.232421875,-0.16,10,0.0,0.0,0.0,False,,0.0,10,0.1704647030958803,0.15432841068021802,0.025207039778144952,False,0.064453125,0.26,0.234375,0.966796875,1.0,0.697265625,,0.193359375,
query_type=decomposable,peft,dag_vs_parallel,dag,parallel,10,10,1.6555555555555557,1.6333333333333333,0.0,False,0.671875,0.02,10,0.16499737934004083,0.1620246648056181,0.006809034347908069,False,0.375,0.04,10,253.58026666666666,259.0742,-13.828000000000017,False,0.845703125,0.02,10,0.0023623749999999995,0.0024724249999999994,-9.464999999999994e-05,False,0.232421875,-0.3,10,0.0,0.0,0.0,False,,0.0,10,0.1609911365744359,0.15432841068021802,0.009032109836538349,False,0.083984375,0.12,0.671875,0.966796875,1.0,0.697265625,,0.193359375,
query_type=routing,peft,all_vs_dag,all,dag,10,10,1.788888888888889,1.777777777777778,-0.05555555555555547,False,0.822265625,-0.04,10,0.16515722490078028,0.1740835029860485,-0.004775584114946815,False,0.232421875,-0.3,10,277.1860333333333,264.28270000000003,-1.9523333333333284,False,0.921875,0.04,10,0.002323245,0.0023101949999999997,2.0625000000000027e-05,False,0.76953125,0.04,10,0.0,0.0,0.0,False,,0.0,10,0.17528300465608032,0.1724451874886677,-0.0018197336601496195,False,0.845703125,-0.08,1.0,0.697265625,1.0,0.984375,,1.0,
query_type=routing,peft,all_vs_parallel,all,parallel,10,10,1.788888888888889,1.8,0.0,False,0.8125,-0.07,10,0.16515722490078028,0.16935612720085388,-0.004908339554211091,False,0.431640625,-0.02,10,277.1860333333333,264.7769666666667,-10.522333333333378,False,1.0,-0.16,10,0.002323245,0.00235969,-4.0099999999999945e-05,False,0.4921875,0.0,10,0.0,0.0,0.0,False,,0.0,10,0.17528300465608032,0.1720084542186325,-0.00040319109345729465,False,0.76953125,-0.14,1.0,0.86328125,1.0,0.984375,,1.0,
query_type=routing,peft,dag_vs_parallel,dag,parallel,10,10,1.777777777777778,1.8,-0.05555555555555547,False,0.900390625,-0.05,10,0.1740835029860485,0.16935612720085388,0.0014470956144070068,False,0.556640625,0.1,10,264.28270000000003,264.7769666666667,-20.897166666666692,False,0.6953125,-0.12,10,0.0023101949999999997,0.00235969,-6.0649999999999983e-05,False,0.193359375,-0.04,10,0.0,0.0,0.0,False,,0.0,10,0.1724451874886677,0.1720084542186325,-0.0007719266411402304,False,0.845703125,0.0,1.0,0.86328125,1.0,0.580078125,,1.0,
query_type=simple,peft,all_vs_dag,all,dag,10,10,1.8444444444444446,1.8777777777777778,0.0,False,0.9609375,-0.09,10,0.174802948581614,0.17209052290456683,0.005207555641143682,False,0.322265625,0.16,10,207.99943333333331,222.43483333333333,-17.31816666666667,False,0.130859375,-0.36,10,0.0020452399999999994,0.00202929,3.745000000000007e-05,False,0.6953125,0.02,10,0.0,0.0,0.0,False,,0.0,10,0.1932237456138037,0.19829868163154554,-0.0011896263893085846,False,0.845703125,-0.06,1.0,0.966796875,0.26171875,1.0,,1.0,
query_type=simple,peft,all_vs_parallel,all,parallel,10,10,1.8444444444444446,1.7666666666666668,0.11111111111111116,False,0.541015625,0.14,10,0.174802948581614,0.173372363535207,0.0027163663635002555,False,1.0,0.04,10,207.99943333333331,208.6248,3.092666666666645,False,0.845703125,0.04,10,0.0020452399999999994,0.00208576,-7.229999999999975e-05,False,0.556640625,-0.2,10,0.0,0.0,0.0,False,,0.0,10,0.1932237456138037,0.1843404308226449,0.018180076159857797,False,0.625,0.14,1.0,1.0,0.845703125,1.0,,1.0,
query_type=simple,peft,dag_vs_parallel,dag,parallel,10,10,1.8777777777777778,1.7666666666666668,0.11111111111111116,False,0.38671875,0.08,10,0.17209052290456683,0.173372363535207,-0.002420196524417176,False,0.4921875,-0.06,10,222.43483333333333,208.6248,12.641833333333324,False,0.083984375,0.28,10,0.00202929,0.00208576,-5.375000000000063e-06,False,0.556640625,-0.1,10,0.0,0.0,0.0,False,,0.0,10,0.19829868163154554,0.1843404308226449,0.007612220082236484,False,0.431640625,0.14,1.0,0.984375,0.251953125,1.0,,1.0,
arm_ablation,peft_vs_base,all:peft_vs_base,peft,base,30,30,1.8037037037037036,1.7518518518518524,0.11111111111111094,False,0.560813614241584,0.035555555555555556,30,0.16883738520883107,0.1732409364248464,-0.003602562334506787,False,0.11907656863331795,-0.10888888888888888,30,249.07708888888882,127.17377777777776,108.31816666666664,False,8.326023817062378e-07,0.9244444444444444,30,0.0022582933333333334,0.0020975283333333336,0.00011207499999999978,False,0.0021877754479646683,0.29555555555555557,30,0.0,0.0,0.0,False,,0.0,30,0.17965715112192143,0.18143732712333654,0.007354708106817445,False,0.7000329215079546,-0.1111111111111111,1.0,0.35722970589995384,8.326023817062378e-07,0.0043755508959293365,,0.7000329215079546,all
arm_ablation,peft_vs_base,dag:peft_vs_base,peft,base,30,30,1.7703703703703708,1.7962962962962963,-0.11111111111111094,False,0.5078673008140756,-0.08,30,0.17039046841021874,0.17330196181330212,-0.0040063536608840045,False,0.20540969260036945,-0.06444444444444444,30,246.76593333333332,124.42192222222222,114.78433333333335,False,1.862645149230957e-09,0.9755555555555555,30,0.002233953333333333,0.0020965416666666667,0.0001509249999999999,False,0.0037444327026605606,0.27555555555555555,30,0.0,0.0,0.0,False,,0.0,30,0.1772450018982164,0.18614861926805046,-0.015005550428729267,False,0.15188691951334476,-0.11555555555555555,1.0,0.4108193852007389,5.587935447692871e-09,0.0043755508959293365,,0.30377383902668953,dag
arm_ablation,peft_vs_base,parallel:peft_vs_base,peft,base,30,30,1.7333333333333332,1.7777777777777777,0.0,False,0.6659566922310381,-0.05,30,0.1682510518472263,0.16800278367250426,0.0017350319168385614,False,0.935398668050766,-0.0044444444444444444,30,244.15865555555555,128.51113333333333,109.417,False,1.862645149230957e-09,0.9311111111111111,30,0.0023059583333333326,0.0020840816666666665,0.00018207500000000008,False,4.4075772166252136e-05,0.3711111111111111,30,0.0,0.0,0.0,False,,0.0,30,0.17022576524049846,0.1850239636116375,-0.012534562582420375,False,0.0050126127898693085,-0.19777777777777777,1.0,0.935398668050766,5.587935447692871e-09,0.0001322273164987564,,0.015037838369607925,parallel
